,Movie Name,Genre,Country,Release Date,Percentage User score,Description,Movie link
58,The Deep Dark,"['Adventure', 'Horror', 'Drama']",FR,2023-11-15,54,"1956, in the north of France. A group of underground miners is forced to take a professor to take samples a thousand meters underground. After a landslide that prevents them from going back up, they discover a crypt from another time, and unknowingly awaken a legendary bloodthirsty creature.",https://www.themoviedb.org/movie/976830-gueules-noires
59,The Taste of Things,"['Romance', 'Drama']",FR,2023-11-08,71,"Set in 1889 France, Dodin Bouffant is a chef living with his personal cook and lover Eugénie. They share a long history of gastronomy and love but Eugénie refuses to marry Dodin, so the food lover decides to do something he has never done before: cook for her.",https://www.themoviedb.org/movie/964960-la-passion-de-dodin-bouffant
60,Popeye,"['Action', 'Adventure', 'Comedy', 'Family']",US,1980-12-12,54,"Popeye is a super-strong, spinach-scarfing sailor man who's searching for his father. During a storm that wrecks his ship, Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive. Before he can win her heart, he must first contend with Olive's fiancé, Bluto.",https://www.themoviedb.org/movie/11335-popeye
61,Dances with Wolves,"['Adventure', 'Drama', 'Western']",GB,1991-02-08,78,"Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",https://www.themoviedb.org/movie/581-dances-with-wolves
62,Stand by Me Doraemon,"['Animation', 'Family', 'Science Fiction', 'Fantasy', 'Adventure']",JP,2014-08-08,73,Sewashi and Doraemon find themselves way back in time and meet Nobita. It is up to Doraemon to take care of Nobita or else he will not return to the present.,https://www.themoviedb.org/movie/265712-stand-by-me
63,The Last Kumite,['Action'],US,2024-06-11,68,"When Karate champion Michael Rivers wins the last tournament of his career, shady businessman Ron Hall offers him the opportunity to fight in an illegal Kumite in Bulgaria against the world’s best martial artists.  When Michael declines, Hall has his daughter kidnapped and, in order to rescue her, Rivers is left with no choice but to compete in the deadly tournament. Arriving in Bulgaria, he finds out that he is not the only fighter whose loved one was taken. Rivers enlists the help of trainers Master Loren, and Julie Jackson but will it be enough for him to win the tournament and save his daughter’s life?",https://www.themoviedb.org/movie/1115623-the-last-kumite
64,The Warrior Princess,"['History', 'Action', 'Drama']",MN,2021-12-03,75,"Princess Khotulun is the daughter of Haidu Khan of the Ugudei dynasty. The film tells the story of Princess Khotulun, the son of Kublai Khan, known in Western and Eastern history as a wrestling princess, and her struggle to reclaim her Golden Sutra.",https://www.themoviedb.org/movie/960481
65,Color Out of Space,"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",US,2020-01-24,60,"The Gardner family moves to a remote farmstead in rural New England to escape the hustle of the 21st century. They are busy adapting to their new life when a meteorite crashes into their front yard, melts into the earth, and infects both the land and the properties of space-time with a strange, otherworldly colour. To their horror, the family discovers this alien force is gradually mutating every life form that it touches—including them.",https://www.themoviedb.org/movie/548473-color-out-of-space
66,Luther: The Fallen Sun,"['Crime', 'Mystery', 'Thriller']",US,2023-02-24,67,"A gruesome serial killer is terrorizing London while brilliant but disgraced detective John Luther sits behind bars. Haunted by his failure to capture the cyber psychopath who now taunts him, Luther decides to break out of prison to finish the job by any means necessary.",https://www.themoviedb.org/movie/722149-luther-the-fallen-sun
67,Inuyasha the Movie: Affections Touching Across Time,"['Action', 'Animation', 'Adventure', 'Fantasy']",JP,2001-12-15,76,"InuYasha is a half-demon who was trapped in the Legendary Tree and was set free by Kagome, a girl who traveled 500 years through time. This time, both of them will have to face Menomaru, a Chinese demon whose father, known as Hyoga, came 300 years ago to invade Japan, but was stopped by InuYasha's Father. InuYasha and Kagome, along with Sango, Miroku, Shippou, Kaede and Myoga, will try to stop Menomaru in his becoming the most powerful demon ever.",https://www.themoviedb.org/movie/42360
68,Journey to the West: Conquering the Demons,"['Action', 'Fantasy', 'Adventure', 'Comedy']",CN,2013-02-10,69,"In a world plagued by demons who cause great human suffering, young demon hunter Tang Sanzang must fight against monstrous demons, as well as contend with a beautiful demon hunting woman on his path to enlightenment.",https://www.themoviedb.org/movie/170657
69,The Lion King,"['Family', 'Animation', 'Drama']",US,1994-06-24,83,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",https://www.themoviedb.org/movie/8587-the-lion-king
70,Halloween II,['Horror'],US,2009-08-28,53,"Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois. Meanwhile, Michael prepares for another reunion with his sister.",https://www.themoviedb.org/movie/24150-halloween-ii
71,The Meg,"['Action', 'Science Fiction', 'Horror']",CN,2018-08-10,63,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",https://www.themoviedb.org/movie/345940-the-meg
72,Hostile,"['Drama', 'Horror', 'Romance', 'Science Fiction']",US,2017-09-13,58,"Juliette, a lone survivor of an apocalyptic era, fights to survive against hunger, thirst, a broken leg and strange disturbing creatures that only come out at nighttime.",https://www.themoviedb.org/movie/461992-hostile
73,Heavenly Creatures,"['Drama', 'Fantasy']",NZ,1994-10-13,70,"Wealthy and precocious teenager Juliet transfers from England to New Zealand with her family, and soon befriends the quiet, brooding Pauline through their shared love of fantasy and literature. When their parents begin to suspect that their increasingly intense and obsessive bond is becoming unhealthy, the girls hatch a dark plan for those who threaten to keep them apart.",https://www.themoviedb.org/movie/1024-heavenly-creatures
74,Friends with Benefits,"['Romance', 'Comedy']",US,2011-07-21,67,"Dylan and Jamie think it's going to be easy to add the simple act of sex to their friendship, despite what Hollywood romantic comedies would have them believe. They soon discover however that getting physical really does always lead to complications.",https://www.themoviedb.org/movie/50544-friends-with-benefits
75,Death Race: Inferno,"['Action', 'Science Fiction', 'Thriller']",US,2013-01-22,58,"Carl Lucas / Frankenstein has won four of his races and needs to win one more to win his freedom. Before his final race, Lucas and his team, car and all, are transferred to another prison where they will compete in a Death Race in the desert. Also, at the same time, Ceaser runs into a marketer who wants to franchise the Death Race program.",https://www.themoviedb.org/movie/156717-death-race-inferno
76,No Mercy,"['Action', 'Adventure', 'Crime', 'Thriller']",KR,2019-01-01,72,A woman seeks to take revenge when her younger sister disappears and she finds out that her sister suffered violence and sexual abuse from school bullies.,https://www.themoviedb.org/movie/569016
77,Cocaine Werewolf,['Horror'],CA,2024-05-01,17,"Cocaine, Cash and a Crew filming a horror movie in the mysterious woods of northern Pennsylvania clash when an unexpected visit from a Werewolf literally enters the picture.",https://www.themoviedb.org/movie/1258195-cocaine-werewolf
78,Café Society,"['Comedy', 'Drama', 'Romance']",US,2016-07-15,65,"The story of a young man who arrives in Hollywood during the 1930s hoping to work in the film industry, falls in love, and finds himself swept up in the vibrant café society that defined the spirit of the age.",https://www.themoviedb.org/movie/339397-cafe-society
79,Anna Karenina,"['Drama', 'Romance', 'History']",GB,2012-09-06,67,"In Imperial Russia, Anna, the wife of the officer Karenin, goes to Moscow to visit her brother. On the way, she meets the charming cavalry officer Vronsky to whom she is immediately attracted. But in St. Petersburg’s high society, a relationship like this could destroy a woman’s reputation.",https://www.themoviedb.org/movie/96724-anna-karenina
80,Mr. Brooks,"['Crime', 'Thriller']",US,2007-06-01,69,A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego.,https://www.themoviedb.org/movie/3432-mr-brooks
81,PAW Patrol: The Mighty Movie,"['Animation', 'Family', 'Action', 'Science Fiction', 'Comedy', 'Drama', 'Adventure']",US,2023-09-29,71,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",https://www.themoviedb.org/movie/893723-paw-patrol-the-mighty-movie
82,Miracolo italiano,['Comedy'],IT,1994-12-21,41,"7 segments about life in 1990s Italy: two MPs from the opposite sides of the political spectrum spend the night together; during their honeymoon, a woman cheats on her husband with her favorite soap opera star; a married man pretends to be ill to seduce his younger nurse; a family discovers that their son's beautiful fiancée is transgender; an unsatisfied single woman is duped by her celebrity crush for Kevin Costner; two best friends want to have fun; a couple on a tropical holiday is fascinated by their indigenous masseuse.",https://www.themoviedb.org/movie/121514-miracolo-italiano
83,Noah,"['Drama', 'Adventure']",US,2014-03-28,57,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,https://www.themoviedb.org/movie/86834-noah
84,White Snake,"['Romance', 'Animation', 'Fantasy']",CN,2019-01-11,77,"One day a young woman named Blanca is saved by Xuan, a snake catcher from a nearby village. She has lost her memory, and together they go on a journey to discover her real identity, developing deeper feelings for one another along the way. But as they learn more about her past, they uncover a darker plot of supernatural forces vying for power, with the fate of the world hanging in the balance.",https://www.themoviedb.org/movie/573699
85,South Park: Post COVID,"['Animation', 'Comedy', 'TV Movie']",US,2021-11-25,72,"What happened to the children who lived through the Pandemic? Stan, Kyle, Cartman and Kenny survived but will never be the same Post Covid.",https://www.themoviedb.org/movie/874299-south-park-post-covid
86,Junglee,"['Action', 'Adventure']",IN,2019-03-29,67,A vet returns home to his father's elephant reserve where he encounters and fights an international poacher's racket.,https://www.themoviedb.org/movie/560964
87,Hot Shots! Part Deux,"['Action', 'Comedy', 'War']",US,1993-05-21,65,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team—who went in to rescue hostages left behind after Desert Storm.",https://www.themoviedb.org/movie/9255-hot-shots-part-deux
88,Kursk,"['Drama', 'History', 'Thriller', 'Action']",BE,2018-11-07,67,"Barents Sea, August 12th, 2000. During a Russian naval exercise, and after suffering a serious accident, the K-141 Kursk submarine sinks with 118 crew members on board. While the few sailors who are still alive barely manage to survive, their families push for accurate information and a British officer struggles to obtain from the Russian government a permit to attempt a rescue before it is late. But general incompetence are against all their efforts.",https://www.themoviedb.org/movie/401200-kursk
89,Digimon Adventure: Our War Game,"['Adventure', 'Animation', 'Action', 'Science Fiction']",JP,2000-03-04,81,"A year after the events of the first season, a virus Digimon called Diaboromon appears and starts attacking the Internet. The children and their Digimon unite once more in order to prevent him from destroying every communications network on the planet.",https://www.themoviedb.org/movie/75571
90,The Resort,['Horror'],US,2021-04-30,57,"Four friends head to Hawaii to investigate reports of a haunting at an abandoned resort in hopes of finding the infamous Half-Faced Girl. When they arrive, they soon learn you should be careful what you wish for.",https://www.themoviedb.org/movie/810271-the-resort
91,Species II,"['Science Fiction', 'Action', 'Horror']",US,1998-04-10,52,"Having just returned from a mission to Mars, Commander Ross isn't exactly himself. He's slowly becoming a terrifying alien entity with one goal -- to procreate with human women! When countless women suffer gruesome deaths after bearing half-alien offspring, scientist Laura Baker and hired assassin Press Lennox use Eve, a more tempered alien clone, to find Ross and his brood. Before long Eve escapes to mate with Ross.",https://www.themoviedb.org/movie/10216-species-ii
